task_id,dataset,trial,auc_cv,num_emb_type,tabm_k,n_epochs
37,diabetes,46,0.8183905710221501,pbld,24,150
37,diabetes,47,0.8144686039422883,none,40,250
37,diabetes,48,0.818666937614306,lt,32,200
37,diabetes,49,0.8165454175980491,none,48,150
11,balance-scale,0,0.9836744337979095,pbld,16,100
11,balance-scale,1,0.9810568621757646,pbld,8,300
11,balance-scale,2,0.9850009436701509,none,24,200
11,balance-scale,3,0.9850009436701509,plr,24,150
11,balance-scale,4,0.987229408633372,pbld,40,100
11,balance-scale,5,0.985587906504065,lt,64,300
11,balance-scale,6,0.9810568621757646,plr,8,200
11,balance-scale,7,0.9850009436701509,pbld,24,200
11,balance-scale,8,0.985587906504065,plr,64,300
11,balance-scale,9,0.9810568621757646,pbld,8,150
11,balance-scale,10,0.9825153648857917,lt,48,100
11,balance-scale,11,0.9825153648857917,lt,48,250
11,balance-scale,12,0.985587906504065,lt,64,250
11,balance-scale,13,0.9825153648857917,none,48,150
11,balance-scale,14,0.987229408633372,lt,40,250
11,balance-scale,15,0.987229408633372,pbld,40,250
11,balance-scale,16,0.987229408633372,lt,40,100
11,balance-scale,17,0.9840364401858304,none,32,250
11,balance-scale,18,0.9880312862950058,lt,56,150
11,balance-scale,19,0.9880312862950058,pbld,56,150
11,balance-scale,20,0.9880312862950058,pbld,56,150
11,balance-scale,21,0.9880312862950058,pbld,56,150
11,balance-scale,22,0.9880312862950058,pbld,56,150
11,balance-scale,23,0.9880312862950058,pbld,56,150
11,balance-scale,24,0.9880312862950058,pbld,56,200
11,balance-scale,25,0.9825153648857917,lt,48,150
11,balance-scale,26,0.985587906504065,plr,64,200
11,balance-scale,27,0.9880312862950058,none,56,100
11,balance-scale,28,0.9825153648857917,pbld,48,150
11,balance-scale,29,0.9840364401858304,pbld,32,100
11,balance-scale,30,0.9880312862950058,lt,56,200
11,balance-scale,31,0.9880312862950058,pbld,56,150
11,balance-scale,32,0.985587906504065,pbld,64,150
11,balance-scale,33,0.9880312862950058,pbld,56,150
11,balance-scale,34,0.9825153648857917,pbld,48,100
11,balance-scale,35,0.985587906504065,pbld,64,200
11,balance-scale,36,0.9880312862950058,pbld,56,150
11,balance-scale,37,0.9836744337979095,plr,16,100
11,balance-scale,38,0.9825153648857917,none,48,150
