task_id,dataset,model,split,auc_ovo,accuracy,g_mean,cross_entropy,fit_time_s,predict_time_s,total_time_s
37,diabetes,catboost,train,0.9874102368220016,0.9590316573556797,0.9521316200235866,0.1527045133894856,6.182265700073913,0.019800800131633878,6.202066500205547
37,diabetes,tabm,test,0.8478189300411523,0.7445887445887446,0.6703601390665936,0.4578321841823571,9.203113100025803,0.12201589997857809,9.325129000004381
37,diabetes,tabm,train,0.8552330022918259,0.7877094972067039,0.7356469741582815,0.44486328602946373,9.243591299979016,0.3302080000285059,9.573799300007522
11,balance-scale,lightgbm,test,0.83615046481927,0.8776595744680851,9.686429820282002e-05,0.5448578863539377,0.48045759997330606,0.0327135999687016,0.5131711999420077
11,balance-scale,lightgbm,train,0.9362571243954948,0.9016018306636155,9.850492505400677e-05,0.44431460076494705,0.33537860005162656,0.0391210000962019,0.37449960014782846
11,balance-scale,xgboost,test,0.8022171730672132,0.8351063829787234,9.3704468668357e-05,0.5828462839929369,7.556859300006181,0.04282439989037812,7.599683699896559
11,balance-scale,xgboost,train,0.9681335122098688,0.9290617848970252,0.5865580253930509,0.38551054786779987,7.264129100134596,0.049967800034210086,7.314096900168806
11,balance-scale,catboost,test,0.893755383290267,0.8776595744680851,9.688328747956666e-05,0.37017597978077244,9.635486799990758,0.023767499951645732,9.659254299942404
11,balance-scale,catboost,train,0.9843674995243159,0.9725400457665904,0.8874211625265526,0.14600207806842833,9.647647000150755,0.016801000107079744,9.664448000257835
11,balance-scale,tabm,test,0.9964210401259318,0.9787234042553191,0.9247472784935561,0.08681986750165321,14.162993100006133,0.10411109984852374,14.267104199854657
11,balance-scale,tabm,train,0.9992710201661078,0.9954233409610984,0.9884618303440972,0.04217448776456398,14.197292499942705,0.24519300018437207,14.442485500127077
31,credit-g,lightgbm,test,0.7555026455026455,0.72,0.5112491187040437,0.5285318348951188,0.45258969999849796,0.11848989990539849,0.5710795999038965
31,credit-g,lightgbm,train,0.8550340136054422,0.7857142857142857,0.6076048662324782,0.46375407248017664,0.47325649997219443,0.12646489986218512,0.5997213998343796
31,credit-g,xgboost,test,0.7352910052910054,0.7466666666666667,0.5984105932344765,0.5887137474313289,6.596989799989387,0.10899029998108745,6.705980099970475
31,credit-g,xgboost,train,0.9839747327502429,0.96,0.9448906128040477,0.16718675290104804,6.201513900188729,0.11228320002555847,6.313797100214288
31,credit-g,catboost,test,0.7275132275132276,0.72,0.5652643713553946,0.5834658498645598,6.042216700036079,0.059933200012892485,6.102149900048971
31,credit-g,catboost,train,0.9255539358600584,0.8514285714285714,0.7564108899284385,0.5024272803940771,6.145555700175464,0.06546570011414587,6.21102140028961
31,credit-g,tabm,test,0.7875661375661377,0.7333333333333333,0.5567764362830022,0.4993513784821886,13.112556400010362,0.2243055000435561,13.336861900053918
31,credit-g,tabm,train,0.830767735665695,0.7785714285714286,0.6222783305721874,0.46311046855432825,13.252106100087985,0.4683258000295609,13.720431900117546
9952,phoneme,lightgbm,test,0.9375797439394606,0.87422934648582,0.838639303471017,0.3141188110933443,1.8151589001063257,0.06416690000332892,1.8793258001096547
9952,phoneme,lightgbm,train,0.9929219264174355,0.9775251189846642,0.9696978739077817,0.09681038025454185,1.6585462000221014,0.10420960001647472,1.7627558000385761
9952,phoneme,xgboost,test,0.9461334271928666,0.8914919852034525,0.8624650530348776,0.5333846105325707,9.64910290017724,0.14412000006996095,9.793222900247201
9952,phoneme,xgboost,train,0.9959560608512704,0.979111581173982,0.9721748512004289,0.08979008940619342,9.976992399897426,0.15006279991939664,10.127055199816823
9952,phoneme,catboost,test,0.9443222315104052,0.8853267570900123,0.8562349452636272,0.284105940892307,9.226531299995258,0.023797899950295687,9.250329199945554
9952,phoneme,catboost,train,0.9932115498732265,0.9796404019037547,0.9728169380467423,0.0897792102392298,9.151065699988976,0.03079169988632202,9.181857399875298
9952,phoneme,tabm,test,0.945900611553522,0.8951911220715166,0.8685132921843657,0.33336773498227285,269.86916089989245,0.9486533999443054,270.81781429983675
9952,phoneme,tabm,train,0.9916626207045369,0.9735589635113696,0.9666662364924364,0.10062903460185244,51.04457979998551,0.1067868999671191,51.15136669995263
23,cmc,lightgbm,test,0.7441356871966894,0.5678733031674208,0.4931646976995366,0.9097011069202899,0.33047210006043315,0.04020359995774925,0.3706757000181824
23,cmc,lightgbm,train,0.7788159152849133,0.5935984481086324,0.534224281219688,0.8730341478111368,0.25163720012642443,0.03740620007738471,0.28904340020380914
23,cmc,xgboost,test,0.736893983931021,0.5520361990950227,0.5073829266922338,0.9084761354802309,3.7551694000139832,0.0480269999243319,3.803196399938315
23,cmc,xgboost,train,0.9338974781502415,0.8225024248302619,0.8131875042092614,0.5670266390300112,4.048030299833044,0.04315040004439652,4.091180699877441
23,cmc,catboost,test,0.7238530391580499,0.5633484162895928,0.5058144746093103,0.9973299564081012,2.3059024000540376,0.01900279987603426,2.324905199930072
23,cmc,catboost,train,0.8015710337847509,0.6333656644034917,0.5974780433972362,0.9620416718968039,2.377117000054568,0.01851269998587668,2.3956297000404447
23,cmc,tabm,test,0.753440075618725,0.5859728506787331,0.542423173653845,0.8745134650871933,0.7875256000552326,0.02778759994544089,0.8153132000006735
23,cmc,tabm,train,0.755222739842378,0.5683802133850631,0.5353229654727101,0.8756835739401763,0.7709992001764476,0.03856309992261231,0.8095623000990599
7592,adult,lightgbm,test,0.9273884429163739,0.8753838804340408,0.7846864542965353,0.28002116227118296,0.720814999891445,0.12148330011405051,0.8422983000054955
7592,adult,lightgbm,train,0.9395281668619373,0.8822135774664366,0.8001211104670943,0.2611991768058487,0.6951278001070023,0.24367930018343031,0.9388071002904326
7592,adult,xgboost,test,0.9261203966635572,0.8747014263290793,0.7843143003964013,0.2809473344942346,1.7589643001556396,0.10810299986042082,1.8670673000160605
7592,adult,xgboost,train,0.9445303464776909,0.884553511363304,0.8038847268298076,0.2511477036606513,1.754871099954471,0.20761650009080768,1.9624876000452787
7592,adult,catboost,test,0.9289145148449458,0.8762710707704907,0.7862470238593728,0.27596553043197797,7.8957598998676986,0.08492850000038743,7.980688399868086
7592,adult,catboost,train,0.9461485358693428,0.8897013659364122,0.8119257344392246,0.2470283928919566,8.208507099887356,0.1994090999942273,8.407916199881583
7592,adult,tabm,test,0.9160076529535215,0.862690234081758,0.7647194582655369,0.3012746349456722,23.896962200058624,0.42984270001761615,24.32680490007624
7592,adult,tabm,train,0.9257804576298226,0.8673842463950393,0.7777944010711558,0.28594606404830514,24.709775200113654,1.016903700074181,25.726678900187835
14965,bank-marketing,lightgbm,test,0.9320858835767925,0.9084340902388676,0.6828419104322777,0.1994019457558187,0.8654155998956412,0.1421693000011146,1.0075848998967558
14965,bank-marketing,lightgbm,train,0.9602328133743454,0.9307675293076753,0.7663952404775214,0.16310923437285313,0.8814260000362992,0.26594959991052747,1.1473755999468267
14965,bank-marketing,xgboost,test,0.9292891716053754,0.908802713063993,0.6635084029427678,0.20370870099717686,1.6429763999767601,0.12437180010601878,1.767348200082779
14965,bank-marketing,xgboost,train,0.956581341426718,0.9271968907005403,0.7307496349760949,0.16923974359183833,1.52738710003905,0.21814289991743863,1.7455299999564886
14965,bank-marketing,catboost,test,0.9305261570709541,0.9080654674137423,0.6434369609081314,0.20444811729716852,2.552373900078237,0.08031049999408424,2.6326844000723213
14965,bank-marketing,catboost,train,0.9474298853801251,0.920940373495118,0.6903077332683099,0.1840874296718207,2.0396859999746084,0.14858440007083118,2.1882704000454396
14965,bank-marketing,tabm,test,0.9350220931222987,0.9109407254497198,0.6982177377715639,0.1981027495688237,38.44244089978747,0.6138976998627186,39.05633859965019
14965,bank-marketing,tabm,train,0.961949230945752,0.9294719878661485,0.7661327639237991,0.1562443721753288,40.44329690001905,1.3920950999017805,41.83539199992083
146195,connect-4,lightgbm,test,0.9184689445926212,0.8642687981053878,0.6257997005554614,0.3491738889668401,62.638479500077665,7.778644500067458,70.41712400014512
146195,connect-4,lightgbm,train,0.9725475818546668,0.9227092981454461,0.797394553995786,0.2425263221771389,56.319966399809346,18.02353690005839,74.34350329986773
146195,connect-4,xgboost,test,0.9099407777020699,0.8575587132425498,0.6082517315584316,0.3673109534014243,18.24604790005833,0.46460109995678067,18.71064900001511
146195,connect-4,xgboost,train,0.9748820306681655,0.9261984816764999,0.8093006970830414,0.23737928403927203,10.582801399985328,0.7121077999472618,11.29490919993259
146195,connect-4,catboost,test,0.6833347294598923,0.77151174264851,0.4501775644355359,3.642647893578905,5.335101299919188,0.2610931999515742,5.596194499870762
146195,connect-4,catboost,train,0.6889480240600802,0.7789760832328871,0.46555479983210496,3.523648501960318,5.1706353998743,0.5517966998741031,5.722432099748403
146195,connect-4,tabm,test,0.9318061416934459,0.8739885533846458,0.6606837657404664,0.31643701628663157,127.76120179984719,0.7831677999347448,128.54436959978193
146195,connect-4,tabm,train,0.9876407454206926,0.9583835564296137,0.8927306723192953,0.17534188896588299,134.51863870001398,1.8886084998957813,136.40724719990976
